image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_1,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_2,Image_List_3,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_1,space,9.441,space,3.304,space,8.055,space,3.052,0,0,0,0,1,ahead.jpg,ahead_path.jpg,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,2.674,space,3.337,0,1,1,1,1,ahead_left.jpg,ahead_left_path.jpg,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,2.64,space,3.257,0,2,2,2,1,ahead_right.jpg,ahead_right_path.jpg,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,3.972,space,1.179,0,3,3,4,1,left.jpg,left_path.jpg,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.087,space,1.619,0,4,4,6,1,right_left.jpg,right_left_path.jpg,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.972,space,1.473,0,5,5,5,1,right.jpg,right_path.jpg,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,4.293,space,3.294,0,6,6,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,11.771,"[""ahead_box""]",space,1.721,0,0,0,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,7.505,"[""left_box"",""right_box""]",space,1.416,0,1,1,6,1,right_left_2.jpg,right_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44386,2020-11-19_12h43.24.641,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,3.618,"[""sharp_right_box""]",space,0.99,0,2,2,5,1,right_2.jpg,right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
